[4.890850824579281, 27.112743876153196];{'b3736': 0, 'b4383': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0, 'b3057': 0}
[4.890850824579281, 27.112743876153196];{'b3736': 0, 'b3732': 0, 'b4383': 0, 'b0116': 0, 'b2280': 0, 'b3057': 0}
[4.890850824579281, 27.112743876153196];{'b3736': 0, 'b3732': 0, 'b4383': 0, 'b0116': 0, 'b2280': 0, 'b3735': 0}
[4.936966966131153, 8.199602440340415];{'b3732': 0, 'b2280': 0}
[4.93696696613179, 8.199602440340403];{'b3732': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b3456': 0, 'b0655': 0, 'b3616': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b3456': 0, 'b0655': 0, 'b3616': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b3732': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b3456': 0, 'b0655': 0, 'b3616': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b3732': 0, 'b0067': 0, 'b2280': 0, 'b1680': 0, 'b3456': 0, 'b0655': 0, 'b3616': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b3732': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b3456': 0, 'b0655': 0, 'b3616': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b3732': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b0655': 0, 'b3616': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b3732': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b3456': 0, 'b3616': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b3732': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b3456': 0, 'b0655': 0, 'b0805': 0}
[4.93696696613179, 8.199602440340403];{'b0125': 0, 'b3732': 0, 'b0067': 0, 'b2280': 0, 'b3735': 0, 'b1680': 0, 'b3456': 0, 'b0655': 0, 'b3616': 0}
[4.9369669661315525, 8.19960244034041];{'b3600': 0, 'b3732': 0, 'b3736': 0, 'b0067': 0, 'b3656': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3732': 0, 'b3736': 0, 'b0067': 0, 'b3656': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3600': 0, 'b3736': 0, 'b0067': 0, 'b3656': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3600': 0, 'b3732': 0, 'b0067': 0, 'b3656': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3600': 0, 'b3732': 0, 'b3736': 0, 'b3656': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3600': 0, 'b3732': 0, 'b3736': 0, 'b0067': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3600': 0, 'b3732': 0, 'b3736': 0, 'b0067': 0, 'b3656': 0, 'b2280': 0, 'b3962': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3600': 0, 'b3732': 0, 'b3736': 0, 'b0067': 0, 'b3656': 0, 'b2280': 0, 'b3733': 0, 'b0805': 0}
[4.9369669661315525, 8.19960244034041];{'b0125': 0, 'b3600': 0, 'b3732': 0, 'b3736': 0, 'b0067': 0, 'b3656': 0, 'b2280': 0, 'b3733': 0, 'b3962': 0}
[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b2280': 0, 'b3731': 0, 'b3733': 0, 'b1680': 0, 'b0675': 0, 'b1686': 0, 'b3456': 0, 'b1341': 0}
[4.936966966131357, 25.81440289948791];{'b0116': 0, 'b0067': 0, 'b2280': 0, 'b3733': 0, 'b1680': 0, 'b0675': 0, 'b1686': 0, 'b3456': 0, 'b1341': 0}
